CBSA_Name,metro_count,avg_access,avg_pop,avg_jobs,avg_LoWgWrks_byTr,avg_HiWgWrks_byTr,pct_LoWgWrks_byTr,pct_MeWgWrks_byTr
"St. George, UT",57,0.2231578947368421,,,,,,
"St. Louis, MO-IL",2009,0.09103003985164193,0.04075744,0.06940689,22610.80487804878,12217.757093081134,0.06733474,0.06798482
"Stockton, CA",395,0.10913924050632912,0.12082291,0.15648676,9093.613636363636,7796.86582278481,0.1561618,0.15644929
"Tampa-St. Petersburg-Clearwater, FL",2017,0.15376906809664834,0.04112552,0.07845188,15011.972101133391,10066.503222607833,0.05595657,0.058498
"The Dalles, OR",22,0.057272727272727274,,,,,,
"Topeka, KS",184,0.20842391304347826,0.23941934,0.41023117,8707.25,4043.570652173913,0.29043528,0.290108
"Trenton-Ewing, NJ",242,0.27148760330578514,,,,,,
"Truckee-Grass Valley, CA",75,0.02613333333333333,,,,,,
"Ukiah, CA",79,0.15278405817518545,,,,,,
"Vallejo-Fairfield, CA",284,0.06798281397619445,,,,,,
"Vineland-Millville-Bridgeton, NJ",100,0.1448,,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC",1147,0.1539223078663758,0.03911294,0.0697527,10001.916913946587,5718.842197035746,0.053585045,0.054712288
"Walla Walla, WA",43,0.09930232558139535,,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3545,0.07494042667746774,0.07858169,0.15252185,29213.11010752688,61254.128067700985,0.060687687,0.064268716
"Worcester, MA",560,0.03503143175357348,,,,,,
